Ticker,Date,Open,High,Low,Close,Adj Close,Volume
IVV,5/19/2000,142.65625,142.65625,140.25,140.6875,96.10643005,775500
IVV,5/22/2000,140.59375,140.59375,136.8125,139.8125,95.50875092,1850600
IVV,5/23/2000,140.21875,140.21875,137.6875,137.6875,94.05709839,373900
IVV,5/24/2000,137.75,140.0625,136.65625,139.75,95.46601868,400300
IVV,5/25/2000,140.03125,140.9375,137.875,138.46875,94.59078217,69600
IVV,5/26/2000,138.484375,138.75,137,137.84375,94.16383362,237000
IVV,5/30/2000,139.28125,142.4375,139.28125,142.375,97.25926208,118100
IVV,5/31/2000,141.875,143.625,141.875,142.78125,97.53675079,216900
IVV,6/1/2000,143.90625,145.0625,143.625,145.0625,99.09513092,128700
IVV,6/2/2000,148.3125,148.78125,147.46875,147.9375,101.059082,108400
IVV,6/5/2000,147,147.65625,146.6875,146.96875,100.3973083,192100
IVV,6/6/2000,146.4375,147.1875,145.6875,146.21875,99.88491821,209300
IVV,6/7/2000,146.21875,147.5,145.65625,147.1875,100.5467453,85400
IVV,6/8/2000,147.8125,147.8125,145.9375,146.65625,100.1838379,248400
IVV,6/9/2000,147.515625,147.515625,145.875,146.125,99.82095337,20200
IVV,6/12/2000,146.625,146.625,144.859375,144.859375,98.95633698,17600
IVV,6/13/2000,145,147.25,144.5,146.75,100.2478638,40300
IVV,6/14/2000,147.75,148.375,147.125,147.65625,100.8669586,353900
IVV,6/15/2000,147.6875,148.25,146.609375,147.65625,100.8669586,338500
IVV,6/16/2000,148.625,148.625,146.46875,147.0625,100.4613647,855900
IVV,6/19/2000,146.5625,149.03125,146.5,148.515625,101.4539948,160000
IVV,6/20/2000,148.625,148.640625,147.296875,147.703125,100.8989563,182600
IVV,6/21/2000,146.875,148.15625,146.875,147.859375,101.0871658,137500
IVV,6/22/2000,147.4375,147.4375,145,145.4375,99.43136597,182900
IVV,6/23/2000,145.5,145.875,144,144.390625,98.71564484,238200
IVV,6/26/2000,145.03125,146.0625,144.8125,146.0625,99.85868073,26000
IVV,6/27/2000,145.8125,146.296875,145.25,145.25,99.30319214,40900
IVV,6/28/2000,145.3125,146.90625,145.3125,145.921875,99.76251221,51200
IVV,6/29/2000,144.640625,145.25,143.5625,144.15625,98.55541992,48500
IVV,6/30/2000,143.984375,145.484375,143.984375,145.484375,99.46340179,16800
IVV,7/3/2000,145.5,147.140625,145.46875,147.140625,100.5957718,7100
IVV,7/5/2000,146.265625,146.359375,144.625,145.09375,99.19636536,27400
IVV,7/6/2000,144.875,146.125,144.21875,145.8125,99.68773651,40100
IVV,7/7/2000,146.375,148.5,146.375,147.96875,101.161972,65500
IVV,7/10/2000,147.65625,148.65625,147.65625,147.71875,100.9910202,77500
IVV,7/11/2000,147.25,149,147.25,148.28125,101.3756027,40700
IVV,7/12/2000,149.25,149.9375,148.875,149.09375,101.9310684,2642100
IVV,7/13/2000,149.71875,150.28125,149.140625,149.59375,102.2728958,971600
IVV,7/14/2000,150.25,151.125,149.8125,150.984375,103.2235794,158800
IVV,7/17/2000,150.734375,151.90625,150.59375,150.890625,103.1595535,430100
IVV,7/18/2000,150.46875,150.5,149.375,149.8125,102.4224625,763600
IVV,7/19/2000,149.34375,149.578125,148.40625,148.40625,101.4610291,120000
IVV,7/20/2000,148.875,150.421875,148.765625,150.421875,102.8390427,96500
IVV,7/21/2000,149.40625,149.4375,147.71875,147.71875,100.9910202,601300
IVV,7/24/2000,148.25,148.59375,146.59375,146.59375,100.2218781,251700
IVV,7/25/2000,147.46875,147.515625,146.8125,147.421875,100.7880783,116700
IVV,7/26/2000,146.875,146.890625,145.75,146,99.81594086,474800
IVV,7/27/2000,145.71875,146.5625,144.875,145.390625,99.39933777,94200
IVV,7/28/2000,145.5,145.5,141.5,142.21875,97.23078156,1147800
IVV,7/31/2000,142.9375,143.953125,142.40625,142.9375,97.72220612,332900
IVV,8/1/2000,143.28125,144.390625,143.28125,144.0625,98.49134064,481700
IVV,8/2/2000,144.65625,145.328125,144.09375,144.359375,98.69426727,505900
IVV,8/3/2000,142.9375,145.65625,142.9375,145.375,99.38861847,173500
IVV,8/4/2000,146.03125,146.421875,145.46875,146.25,99.98685455,132900
IVV,8/7/2000,146.640625,148.296875,146.46875,148.296875,101.3862457,6500
